#{"t_start": 1584991336.8098323, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-408.597753,78000,172.431149,"{'left': {'oppo_miss_start': 393, 'oppo_slow_ball': 2, 'oppo_miss_catch': 65, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 399, 'oppo_slow_ball': 4, 'oppo_miss_catch': 77, 'oppo_double_hit': 0}}"
-411.567355,79000,174.634502,"{'left': {'oppo_miss_start': 396, 'oppo_slow_ball': 2, 'oppo_miss_catch': 66, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 403, 'oppo_slow_ball': 4, 'oppo_miss_catch': 77, 'oppo_double_hit': 0}}"
-414.53807,80000,176.931964,"{'left': {'oppo_miss_start': 401, 'oppo_slow_ball': 2, 'oppo_miss_catch': 68, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 407, 'oppo_slow_ball': 4, 'oppo_miss_catch': 78, 'oppo_double_hit': 0}}"
-418.501094,81000,179.170996,"{'left': {'oppo_miss_start': 405, 'oppo_slow_ball': 2, 'oppo_miss_catch': 68, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 410, 'oppo_slow_ball': 4, 'oppo_miss_catch': 79, 'oppo_double_hit': 0}}"
-425.471748,82000,181.626266,"{'left': {'oppo_miss_start': 413, 'oppo_slow_ball': 2, 'oppo_miss_catch': 69, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 417, 'oppo_slow_ball': 4, 'oppo_miss_catch': 80, 'oppo_double_hit': 0}}"
-425.462123,83000,183.857234,"{'left': {'oppo_miss_start': 414, 'oppo_slow_ball': 2, 'oppo_miss_catch': 70, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 418, 'oppo_slow_ball': 4, 'oppo_miss_catch': 80, 'oppo_double_hit': 0}}"
-433.462123,84000,186.059431,"{'left': {'oppo_miss_start': 420, 'oppo_slow_ball': 2, 'oppo_miss_catch': 70, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 424, 'oppo_slow_ball': 4, 'oppo_miss_catch': 82, 'oppo_double_hit': 0}}"
-443.462123,85000,188.319271,"{'left': {'oppo_miss_start': 428, 'oppo_slow_ball': 2, 'oppo_miss_catch': 70, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 433, 'oppo_slow_ball': 4, 'oppo_miss_catch': 83, 'oppo_double_hit': 0}}"
-451.462123,86000,190.520635,"{'left': {'oppo_miss_start': 436, 'oppo_slow_ball': 2, 'oppo_miss_catch': 70, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 440, 'oppo_slow_ball': 4, 'oppo_miss_catch': 84, 'oppo_double_hit': 0}}"
-459.445644,87000,192.727689,"{'left': {'oppo_miss_start': 441, 'oppo_slow_ball': 2, 'oppo_miss_catch': 70, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 445, 'oppo_slow_ball': 4, 'oppo_miss_catch': 87, 'oppo_double_hit': 0}}"
-468.445644,88000,194.913741,"{'left': {'oppo_miss_start': 447, 'oppo_slow_ball': 2, 'oppo_miss_catch': 70, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 451, 'oppo_slow_ball': 4, 'oppo_miss_catch': 90, 'oppo_double_hit': 0}}"
-477.437678,89000,197.149976,"{'left': {'oppo_miss_start': 455, 'oppo_slow_ball': 2, 'oppo_miss_catch': 70, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 458, 'oppo_slow_ball': 4, 'oppo_miss_catch': 92, 'oppo_double_hit': 0}}"
